medallion,hack_license,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance
2010000130,2010000130,CMT,1/1/2010 0:01,1/1/2010 0:22,2,21.23,2.3
2010000131,2010000131,CMT,1/1/2010 0:01,1/1/2010 0:29,1,28.18,3.6
2010000132,2010000132,CMT,1/1/2010 0:01,1/1/2010 0:02,1,0.4,0.1
2010000133,2010000133,DDS,1/1/2010 0:01,1/1/2010 0:23,1,21.36,10.3
2010000134,2010000134,DDS,1/1/2010 0:01,1/1/2010 0:21,1,19.98,4.5
2010000135,2010000135,CMT,1/1/2010 0:01,1/1/2010 0:04,1,2.47,0.4
2010000136,2010000136,CMT,1/1/2010 0:01,1/1/2010 0:16,1,15.1,4.5
2010000137,2010000137,CMT,1/1/2010 0:01,1/1/2010 0:09,1,7.87,1.4
2010000138,2010000138,DDS,1/1/2010 0:01,1/1/2010 0:32,1,30.69,2.8
2010000139,2010000139,CMT,1/1/2010 0:01,1/1/2010 0:10,2,8.98,1.1
2010000140,2010000140,CMT,1/1/2010 0:01,1/1/2010 0:07,1,5.28,1.1
2010000141,2010000141,CMT,1/1/2010 0:01,1/1/2010 0:02,1,0.45,0.2
2010000142,2010000142,CMT,1/1/2010 0:01,1/1/2010 0:16,1,15.08,4.5
2010000143,2010000143,CMT,1/1/2010 0:01,1/1/2010 0:10,1,9.12,1.3
2010000144,2010000144,CMT,1/1/2010 0:01,1/1/2010 0:30,1,28.92,0.7
2010000145,2010000145,CMT,1/1/2010 0:01,1/1/2010 0:15,1,14.15,7.6
2010000146,2010000146,CMT,1/1/2010 0:01,1/1/2010 0:11,1,9.83,2.8
2010000147,2010000147,CMT,1/1/2010 0:01,1/1/2010 0:03,1,1.85,0.4
2010000148,2010000148,VTS,1/1/2010 0:01,1/1/2010 0:01,3,0,0.03
2010000149,2010000149,CMT,1/1/2010 0:01,1/1/2010 0:15,2,13.45,0.8
2010000150,2010000150,CMT,1/1/2010 0:01,1/1/2010 0:03,1,1.8,0.2
2010000151,2010000151,CMT,1/1/2010 0:01,1/1/2010 0:06,4,5.05,0.9
2010000152,2010000152,VTS,1/1/2010 0:01,1/1/2010 0:01,1,0,0.13
2010000153,2010000153,CMT,1/1/2010 0:01,1/1/2010 0:20,2,18.72,2.1
2010000154,2010000154,CMT,1/1/2010 0:01,1/1/2010 0:04,1,2.53,1.1
2010000155,2010000155,CMT,1/1/2010 0:01,1/1/2010 0:15,1,13.7,2.3
2010000156,2010000156,CMT,1/1/2010 0:01,1/1/2010 0:06,1,4.62,1
2010000157,2010000157,CMT,1/1/2010 0:01,1/1/2010 0:06,1,4.37,0.6
2010000158,2010000158,CMT,1/1/2010 0:01,1/1/2010 0:35,2,33.4,13.3
2010000159,2010000159,CMT,1/1/2010 0:01,1/1/2010 0:08,1,6.78,0.7
2010000160,2010000160,DDS,1/1/2010 0:01,1/1/2010 0:13,2,11.25,1.9
2010000161,2010000161,CMT,1/1/2010 0:01,1/1/2010 0:18,2,16.65,4.6
2010000162,2010000162,DDS,1/1/2010 0:01,1/1/2010 0:14,1,12.71,2
2010000163,2010000163,CMT,1/1/2010 0:01,1/1/2010 0:07,2,5.4,1.3
2010000164,2010000164,CMT,1/1/2010 0:01,1/1/2010 0:05,1,3.82,1.1
2010000165,2010000165,CMT,1/1/2010 0:01,1/1/2010 0:05,1,3.47,0.4
2010000166,2010000166,VTS,1/1/2010 0:02,1/1/2010 0:23,2,21,9.8
2010000167,2010000167,VTS,1/1/2010 0:02,1/1/2010 0:35,1,33,4.43
2010000168,2010000168,VTS,1/1/2010 0:02,1/1/2010 0:41,1,39,11.46
2010000169,2010000169,VTS,1/1/2010 0:02,1/1/2010 0:30,2,28,7.25
2010000170,2010000170,VTS,1/1/2010 0:02,1/1/2010 0:26,4,24,3.63
2010000171,2010000171,VTS,1/1/2010 0:02,1/1/2010 0:07,1,5,0.76
2010000172,2010000172,CMT,1/1/2010 0:02,1/1/2010 0:03,1,1.43,0
2010000173,2010000173,VTS,1/1/2010 0:02,1/1/2010 0:29,2,27,4.82
2010000174,2010000174,VTS,1/1/2010 0:02,1/1/2010 0:38,1,36,10.91
2010000175,2010000175,VTS,1/1/2010 0:02,1/1/2010 0:32,5,30,3.9
2010000176,2010000176,VTS,1/1/2010 0:02,1/1/2010 0:10,3,8,1.64
2010000177,2010000177,VTS,1/1/2010 0:02,1/1/2010 0:28,5,26,11.58
2010000178,2010000178,CMT,1/1/2010 0:02,1/1/2010 0:08,2,6.27,1.4
2010000179,2010000179,CMT,1/1/2010 0:02,1/1/2010 0:07,1,5.52,1.9
2010000180,2010000180,CMT,1/1/2010 0:02,1/1/2010 0:22,3,20.03,4.9
2010000181,2010000181,CMT,1/1/2010 0:02,1/1/2010 0:25,2,23.52,6.7
2010000182,2010000182,DDS,1/1/2010 0:02,1/1/2010 0:04,1,2.56,0.3
